Region.Label,Area,Sample.Label,Effort,object,distance,Study.Area,direction
Montrave,33.2,1,2,5,37,Montrave 1,w
Montrave,33.2,1,2,9,35,Montrave 1,se
Montrave,33.2,1,2,10,75,Montrave 1,sw
Montrave,33.2,10,2,99,120,Montrave 1,ne
Montrave,33.2,10,2,100,40,Montrave 1,s
Montrave,33.2,10,2,101,80,Montrave 1,se
Montrave,33.2,10,2,102,90,Montrave 1,ne
Montrave,33.2,10,2,107,100,Montrave 1,se
Montrave,33.2,11,2,110,80,Montrave 1,ne
Montrave,33.2,11,2,116,68,Montrave 1,se
Montrave,33.2,11,2,117,80,Montrave 1,n
Montrave,33.2,11,2,118,100,Montrave 1,ne
Montrave,33.2,12,2,120,50,Montrave 1,n
Montrave,33.2,12,2,121,80,Montrave 1,ne
Montrave,33.2,12,2,122,88,Montrave 1,w
Montrave,33.2,12,2,123,65,Montrave 1,e
Montrave,33.2,12,2,124,45,Montrave 1,e
Montrave,33.2,12,2,125,45,Montrave 1,sw
Montrave,33.2,12,2,130,50,Montrave 1,n
Montrave,33.2,12,2,131,50,Montrave 1,nw
Montrave,33.2,12,2,132,60,Montrave 1,s
Montrave,33.2,12,2,133,70,Montrave 1,sw
Montrave,33.2,13,2,137,35,Montrave 1,e
Montrave,33.2,13,2,138,55,Montrave 1,w
Montrave,33.2,13,2,139,70,Montrave 1,n
Montrave,33.2,13,2,143,24,Montrave 1,ne
Montrave,33.2,13,2,144,25,Montrave 1,e
Montrave,33.2,13,2,145,45,Montrave 1,nw
Montrave,33.2,13,2,146,90,Montrave 1,w
Montrave,33.2,14,2,151,70,Montrave 1,sw
Montrave,33.2,14,2,152,55,Montrave 1,e
Montrave,33.2,14,2,153,50,Montrave 1,se
Montrave,33.2,14,2,157,45,Montrave 1,s
Montrave,33.2,14,2,158,55,Montrave 1,w
Montrave,33.2,14,2,159,67,Montrave 1,ne
Montrave,33.2,14,2,160,70,Montrave 1,sw
Montrave,33.2,15,2,164,50,Montrave 1,ne
Montrave,33.2,15,2,168,35,Montrave 1,n
Montrave,33.2,15,2,169,60,Montrave 1,nw
