Region.Label,Area,Sample.Label,Effort,object,distance,Study.Area
Montrave,33.2,1,0.416,5,15,Montrave 4
Montrave,33.2,1,0.416,6,80,Montrave 4
Montrave,33.2,1,0.416,7,35,Montrave 4
Montrave,33.2,1,0.416,8,55,Montrave 4
Montrave,33.2,1,0.416,12,12,Montrave 4
Montrave,33.2,1,0.416,13,75,Montrave 4
Montrave,33.2,1,0.416,14,23,Montrave 4
Montrave,33.2,1,0.416,15,70,Montrave 4
Montrave,33.2,1,0.416,16,75,Montrave 4
Montrave,33.2,1,0.416,17,56,Montrave 4
Montrave,33.2,2,0.802,25,20,Montrave 4
Montrave,33.2,2,0.802,26,24,Montrave 4
Montrave,33.2,2,0.802,27,10,Montrave 4
Montrave,33.2,2,0.802,28,60,Montrave 4
Montrave,33.2,2,0.802,29,65,Montrave 4
Montrave,33.2,2,0.802,30,0,Montrave 4
Montrave,33.2,2,0.802,41,40,Montrave 4
Montrave,33.2,2,0.802,42,32,Montrave 4
Montrave,33.2,2,0.802,43,20,Montrave 4
Montrave,33.2,2,0.802,44,60,Montrave 4
Montrave,33.2,2,0.802,45,40,Montrave 4
Montrave,33.2,3,0.802,56,33,Montrave 4
Montrave,33.2,3,0.802,57,5,Montrave 4
Montrave,33.2,3,0.802,58,35,Montrave 4
Montrave,33.2,3,0.802,59,15,Montrave 4
Montrave,33.2,3,0.802,60,70,Montrave 4
Montrave,33.2,3,0.802,61,5,Montrave 4
Montrave,33.2,3,0.802,73,48,Montrave 4
Montrave,33.2,3,0.802,74,32,Montrave 4
Montrave,33.2,3,0.802,75,0,Montrave 4
Montrave,33.2,3,0.802,76,33,Montrave 4
Montrave,33.2,3,0.802,77,20,Montrave 4
Montrave,33.2,3,0.802,78,35,Montrave 4
Montrave,33.2,4,0.598,87,5,Montrave 4
Montrave,33.2,4,0.598,88,80,Montrave 4
Montrave,33.2,4,0.598,89,80,Montrave 4
Montrave,33.2,4,0.598,90,55,Montrave 4
Montrave,33.2,4,0.598,98,70,Montrave 4
Montrave,33.2,4,0.598,99,75,Montrave 4
Montrave,33.2,4,0.598,100,22,Montrave 4
Montrave,33.2,4,0.598,101,85,Montrave 4
Montrave,33.2,4,0.598,102,75,Montrave 4
Montrave,33.2,4,0.598,103,35,Montrave 4
Montrave,33.2,4,0.598,104,40,Montrave 4
Montrave,33.2,5,0.7,115,35,Montrave 4
Montrave,33.2,5,0.7,116,10,Montrave 4
Montrave,33.2,5,0.7,117,70,Montrave 4
Montrave,33.2,5,0.7,118,70,Montrave 4
Montrave,33.2,5,0.7,119,75,Montrave 4
Montrave,33.2,5,0.7,132,60,Montrave 4
Montrave,33.2,5,0.7,133,30,Montrave 4
Montrave,33.2,5,0.7,134,25,Montrave 4
Montrave,33.2,5,0.7,135,80,Montrave 4
Montrave,33.2,5,0.7,136,80,Montrave 4
Montrave,33.2,5,0.7,137,40,Montrave 4
Montrave,33.2,5,0.7,138,85,Montrave 4
Montrave,33.2,5,0.7,139,55,Montrave 4
Montrave,33.2,5,0.7,140,65,Montrave 4
Montrave,33.2,6,0.802,149,20,Montrave 4
Montrave,33.2,6,0.802,150,30,Montrave 4
Montrave,33.2,6,0.802,151,40,Montrave 4
Montrave,33.2,6,0.802,152,25,Montrave 4
Montrave,33.2,6,0.802,153,45,Montrave 4
Montrave,33.2,6,0.802,154,60,Montrave 4
Montrave,33.2,6,0.802,162,25,Montrave 4
Montrave,33.2,6,0.802,163,35,Montrave 4
Montrave,33.2,6,0.802,164,25,Montrave 4
Montrave,33.2,6,0.802,165,10,Montrave 4
Montrave,33.2,6,0.802,166,2,Montrave 4
Montrave,33.2,6,0.802,167,35,Montrave 4
Montrave,33.2,7,0.786,174,27,Montrave 4
Montrave,33.2,7,0.786,175,35,Montrave 4
Montrave,33.2,7,0.786,176,65,Montrave 4
Montrave,33.2,7,0.786,177,45,Montrave 4
Montrave,33.2,7,0.786,178,80,Montrave 4
Montrave,33.2,7,0.786,179,30,Montrave 4
Montrave,33.2,7,0.786,187,25,Montrave 4
Montrave,33.2,7,0.786,188,70,Montrave 4
Montrave,33.2,7,0.786,189,30,Montrave 4
Montrave,33.2,7,0.786,190,55,Montrave 4
Montrave,33.2,7,0.786,191,60,Montrave 4
Montrave,33.2,7,0.786,192,40,Montrave 4
Montrave,33.2,7,0.786,193,75,Montrave 4
Montrave,33.2,8,0.81,199,70,Montrave 4
Montrave,33.2,8,0.81,200,23,Montrave 4
Montrave,33.2,8,0.81,201,55,Montrave 4
Montrave,33.2,8,0.81,202,60,Montrave 4
Montrave,33.2,8,0.81,203,75,Montrave 4
Montrave,33.2,8,0.81,204,30,Montrave 4
Montrave,33.2,8,0.81,205,65,Montrave 4
Montrave,33.2,8,0.81,211,45,Montrave 4
Montrave,33.2,8,0.81,212,20,Montrave 4
Montrave,33.2,8,0.81,213,55,Montrave 4
Montrave,33.2,8,0.81,214,30,Montrave 4
Montrave,33.2,9,0.77,217,45,Montrave 4
Montrave,33.2,9,0.77,218,10,Montrave 4
Montrave,33.2,9,0.77,219,75,Montrave 4
Montrave,33.2,9,0.77,223,30,Montrave 4
Montrave,33.2,9,0.77,224,70,Montrave 4
Montrave,33.2,9,0.77,225,35,Montrave 4
Montrave,33.2,10,0.408,229,55,Montrave 4
Montrave,33.2,10,0.408,230,23,Montrave 4
Montrave,33.2,10,0.408,233,85,Montrave 4
Montrave,33.2,11,0.078,234,25,Montrave 4
Montrave,33.2,12,0.094,237,90,Montrave 4
Montrave,33.2,12,0.094,238,40,Montrave 4
Montrave,33.2,12,0.094,240,50,Montrave 4
Montrave,33.2,12,0.094,241,90,Montrave 4
